spin	e_nuc	e_t	e_ext	e_coul	e_xc	e_elec	e_tot	ene_check
0	69.40167822152496	153.04206477751066	-498.5804137416859	143.12341687252595	-20.693678143802334	-223.10861023545175	-153.7069320139268	True
0	101.26911056079517	226.76033726788904	-737.4958352655647	210.21070210761107	-28.412727807290697	-328.9375236973548	-227.6684131365596	True
0	81.83339516142476	154.2395119583906	-526.1046564243206	156.60925225733777	-21.485072802946185	-236.74096501153872	-154.90756985011396	True
0	83.87537015329784	154.22858266743975	-529.9428021362339	158.42249145113107	-21.47337543344867	-238.7651034511117	-154.88973329781388	True
0	101.34638337442246	475.55718263517815	-1331.5400560413302	315.8380017505856	-37.750478507690765	-577.8953501632556	-476.5489667888331	True
0	183.45018337215242	551.6010513357998	-1675.5446903157488	434.592894551893	-47.03054304055815	-736.3812874686164	-552.931104096464	True
0	107.65212007185782	476.75082309077436	-1346.6701078864858	322.98588366570795	-38.48495619493923	-585.4183573249425	-477.7662372530846	True
0	111.04005376009853	476.7387301596856	-1353.478029806529	326.4204191243655	-38.48672838231404	-588.8056089047918	-477.7655551446933	True
0	67.232119980072 	177.0195726790358	-553.5169694673486	153.74231313440694	-22.17786033024749	-244.93294398415367	-177.70082400408165	True
0	103.01359759607361	538.1822150125143	-1483.7144788395458	344.01566015371714	-40.66226221503375	-642.1788658883468	-539.1652682922731	True
0	88.78059793289128	536.9617352137153	-1452.5858946763142	328.78492621997924	-39.879869907095994	-626.7191031497143	-537.938505216823	True
0	89.52620989809547	169.83999603626796	-576.0366519683587	169.94994025523596	-23.958607600944518	-260.2053232777995	-170.679113379704	True
0	119.12234015759243	192.1281315908096	-688.9915418992844	211.58413948690347	-26.832022512516925	-312.1112933340885	-192.98895317649607	True
0	120.69328910217754	228.0118279380269	-779.1977150065723	230.8072710646648	-29.244443868926048	-349.62305987280666	-228.92977077062912	True
0	118.10791154257373	251.9911865486957	-833.1164068314343	240.79124653711463	-30.71045454582052	-371.04442829144426	-252.93651674887053	True
0	148.57069099616683	611.9197526240624	-1750.0333994170417	424.7744012009702	-48.395526517242786	-761.7347721092517	-613.1640811130849	True
0	158.9066900601962	577.2569986078423	-1686.3610041286172	418.5556298619209	-46.79378932659988	-737.3421649854538	-578.4354749252576	True
0	134.96422928411377	193.3247190735172	-723.269460973914	228.41342707481147	-27.61575900252551	-329.1470738281094	-194.18284454399563	True
0	133.6705069234682	193.31240296904713	-720.4994941635256	226.95741241400785	-27.605771743998044	-327.8354505244687	-194.1649436010005	True
0	138.86200791238807	173.46887278478115	-682.141238416428	221.83818951160112	-26.319795191413863	-313.1539713114594	-174.2919633990713	True
0	160.6865288239402	228.85284920053925	-857.8891468828404	270.0064478389932	-31.49301604283156	-390.52286588613936	-229.83633706219916	True
0	202.71163215413134	551.3612313697201	-1711.0833539458397	452.81864099471215	-48.518312206888616	-755.4217937882954	-552.710161634164	True
0	160.9055225286531	209.0351483288597	-810.135026159221	260.443789641938	-30.233886663191633	-370.889974851615	-209.9844523229619	True
0	205.79070589859995	246.9244702967997	-988.2073489309633	323.0113560937978	-35.577871871212565	-453.8493944115781	-248.05868851297814	True
0	0.7178535240637794	1.1418385730634413	-3.649750627716659	1.3163094498102397	-0.69203763668094	-1.8836402415239166	-1.1657867174601373	True
1	6.297793441985462	397.95882698769753	-960.737535082778	183.72881435693506	-25.826772493736286	-404.8766662318808	-398.57887278989534	True
1	20.54443278200402	76.34302531550759	-219.06357083756325	56.65036989220512	-11.0050128761334	-97.07518850598385	-76.53075572397982	True
1	28.721556575377953	77.53620144517251	-237.87173252443438	65.57721731087604	-11.78272343879823	-106.54103720718442	-77.81948063180647	True
1	62.63966044767326	152.40915974986254	-483.5765338513801	135.74194487718322	-20.277083670195	-215.70251289452963	-153.06285244685637	True
1	35.16219314557323	114.51462144065947	-340.34219011542234	90.63694954727912	-14.947228606468563	-150.13784773395227	-114.97565458837904	True
1	34.12592804996946	114.49898710039744	-338.3421945531036	89.67239373345933	-14.917483914696415	-149.0882976339434	-114.96236958397394	True
1	74.4791676635222	153.58352555160448	-509.8903400429775	148.6413920845364	-21.05024241175949	-228.71566481859588	-154.23649715507366	True
1	48.42770142509401	437.0228996688194	-1135.9573378024763	244.61079017695857	-31.95802285541883	-486.2816708121161	-437.85396938702206	True
1	36.95469682608713	78.67127139986466	-256.7468088125734	74.61573700958307	-12.559319551433358	-116.01911995455852	-79.06442312847139	True
1	75.50338459501555	117.74694271942673	-424.80397081046925	131.90410917329166	-18.691817781357116	-193.84473669910787	-118.34135210409232	True
1	125.5755829224201	156.8268585423758	-615.8904713867145	200.69397150096378	-24.82400493784673	-283.19364628122275	-157.61806335880266	True
1	63.88996442774644	204.2037423797901	-610.9066600905135	161.5431705344162	-23.713362929693908	-268.87311010599944	-204.983145678253	True
